,Name,Note,Formula,Ex.MS,Mol.W,C,H,B,Cl,F,K,N,Na,O,P,S,Si
0,cSLS,,C82H118N24O27PS2,1965.77772898507,1967.0626819980002,82,118.0,0,0,0,0,24,0,27,1,2,0
1,Ang2,,C141H196N38O40P,3092.42086526664,3094.2693019980006,141,196.0,0,0,0,0,38,0,40,1,0,0
2,MTfp,,C101H141N25O31P,2230.9962948602697,2232.322901998,101,141.0,0,0,0,0,25,0,31,1,0,0
3,eGLP1,,C195H296N48O65PS2,4445.051116371989,4447.823101998,195,296.0,0,0,0,0,48,0,65,1,2,0
4,eNT,,C139H206N36O36P,2986.5133091018,2988.316301998,139,206.0,0,0,0,0,36,0,36,1,0,0
5,CCKAR,,C90H117N17O27PS3,1994.7204570962301,1996.158441998,90,117.0,0,0,0,0,17,0,27,1,3,0
6,No1,,C226H356N66O54PS2,4953.63188957026,4956.758401998,226,356.0,0,0,0,0,66,0,54,1,2,0
7,No2,,C215H338N62O55P,4699.52951524317,4702.340381997999,215,338.0,0,0,0,0,62,0,55,1,0,0
8,Rena(Aba)-[33K],,C208H344N62O57P,4653.56629467569,4656.311921997999,208,344.0,0,0,0,0,62,0,57,1,0,0
9,Rena(Aba)-2N-[33K],,C200H330N60O55P,4483.46076697647,4486.102961997999,200,330.0,0,0,0,0,60,0,55,1,0,0
10,Rena(Aba)-4N-[33K],,C192H318N58O50P,4267.386145482999,4269.911681998,192,318.0,0,0,0,0,58,0,50,1,0,0
11,Rena(Aba)-9N-[33K],,C163H274N48O44P,3639.0416163031596,3641.188621998,163,274.0,0,0,0,0,48,0,44,1,0,0
12,Rena(Aba)-[33C],,C181H313N57O53PS2,4228.272832524929,4230.875781998,181,313.0,0,0,0,0,57,0,53,1,2,0
13,Rena(Aba)-9N-[33C],,C136H243N43O40PS2,3213.7481541524,3215.752481998,136,243.0,0,0,0,0,43,0,40,1,2,0
14,Rena(Aba)-[35K],,C212H351N63O59P,4754.61397314487,4757.415801998,212,351.0,0,0,0,0,63,0,59,1,0,0
15,Rena(Aba)-9N-[35K],,C167H281N49O46P,3740.08929477234,3742.2925019980003,167,281.0,0,0,0,0,49,0,46,1,0,0
16,Aba-[33K],,C209H346N62O57P,4667.58194474015,4670.338501998,209,346.0,0,0,0,0,62,0,57,1,0,0
17,Aba-9N-[33K],,C164H276N48O44P,3653.0572663676194,3655.215201998,164,276.0,0,0,0,0,48,0,44,1,0,0
18,Aba-[33C],,C182H315N57O53PS2,4242.288482589389,4244.902361998,182,315.0,0,0,0,0,57,0,53,1,2,0
19,Aba-9N-[33C],,C137H245N43O40PS2,3227.76380421686,3229.7790619980005,137,245.0,0,0,0,0,43,0,40,1,2,0
20,Aba-[35K],,C213H353N63O59P,4768.629623209329,4771.442381998,213,353.0,0,0,0,0,63,0,59,1,0,0
21,Aba-9N-[35K],,C168H283N49O46P,3754.1049448368003,3756.319081998,168,283.0,0,0,0,0,49,0,46,1,0,0
22,hPTh-[33K],,C216H339N61O58PS2,4810.46315247848,4813.480521998,216,339.0,0,0,0,0,61,0,58,1,2,0
23,hPTh-9N-[33K],,C172H267N49O44PS,3785.96198625638,3788.301041998,172,267.0,0,0,0,0,49,0,44,1,1,0
24,hPTh-[33C],,C189H308N56O54PS4,4385.16969032772,4388.044381998,189,308.0,0,0,0,0,56,0,54,1,4,0
25,hPTh-9N-[33C],,C145H236N44O40PS3,3360.66852410562,3362.8649019980003,145,236.0,0,0,0,0,44,0,40,1,3,0
26,hPTh-[35K],,C220H345N63O60PS2,4924.50607991986,4927.583161998,220,345.0,0,0,0,0,63,0,60,1,2,0
27,hPTh-9N-[35K],,C176H273N51O46PS,3900.0049136977595,3902.4036819980006,176,273.0,0,0,0,0,51,0,46,1,1,0
28,TIP-[40K],,C241H379N69O63PS,5310.803247726571,5314.051221997999,241,379.0,0,0,0,0,69,0,63,1,1,0
29,TIP-9N-[40K],,C206H322N60O49PS,4483.40075017561,4486.172241998,206,322.0,0,0,0,0,60,0,49,1,1,0
30,PIP-C,,C145H239N51O31P,3221.8430721339896,3223.7460219980003,145,239.0,0,0,0,0,51,0,31,1,0,0
31,PIP-N,,C145H239N51O31P,3221.8430721339896,3223.7460219980003,145,239.0,0,0,0,0,51,0,31,1,0,0
32,TAT,,C61H91N15O18P,1352.64041315006,1353.438701998,61,91.0,0,0,0,0,15,0,18,1,0,0
33,MTP-TAT,,C131H220N50O33P,3052.6811517563297,3054.437461998,131,220.0,0,0,0,0,50,0,33,1,0,0
34,TAT-MTP,,C131H220N50O33P,3052.6811517563297,3054.437461998,131,220.0,0,0,0,0,50,0,33,1,0,0
35,Dab8,,C47H84N20O12,1120.65775823076,1121.29666,47,84.0,0,0,0,0,20,0,12,0,0,0
36,CD59(Base),,C388H571N103O117PS10,8895.88420009173,8901.929001998,388,571.0,0,0,0,0,103,0,117,1,10,0
37,Elafin(Base),,C234H370N64O64PS10,5451.46100760352,5455.455761998,234,370.0,0,0,0,0,64,0,64,1,10,0
38,CPP-MTP-PEG,,C287H524N50O111P,6478.66330188071,6482.4736219979995,287,524.0,0,0,0,0,50,0,111,1,0,0
39,Amyloid beta(1-42),,C236H352N62O67PS,5189.55011230363,5192.734041997999,236,352.0,0,0,0,0,62,0,67,1,1,0
40,cCTP,,C103H146N26O28P,2226.0537501671397,2227.392501998,103,146.0,0,0,0,0,26,0,28,1,0,0
41,cS7A,,C103H146N26O27P,2210.0588355475697,2211.393101998,103,146.0,0,0,0,0,26,0,27,1,0,0
42,cR11A,,C100H139N23O28P,2140.98975292824,2142.284721998,100,139.0,0,0,0,0,23,0,28,1,0,0
43,RM26-DBCO-C6,,C90H124N20O19P,1819.90892385537,1821.0439219980003,90,124.0,0,0,0,0,20,0,19,1,0,0
44,EP1-DBCO-C6,,C96H127N17O28P,1996.8774085149,1998.1064419980003,96,127.0,0,0,0,0,17,0,28,1,0,0
45,RM26-mal-S-C6-PS,,C69H101N15O16PS2,1490.6729765820198,1491.7349019980002,69,101.0,0,0,0,0,15,0,16,1,2,0
46,BBN(6-14)-mal-S-C6-PS,,C61H92N16O16PS3,1431.57769647078,1432.649541998,61,92.0,0,0,0,0,16,0,16,1,3,0
47,BBN(6-14)-DBCO-C6,,C82H115N21O19PS,1760.81364374413,1761.9585619980003,82,115.0,0,0,0,0,21,0,19,1,1,0
